sep=;
2013-12-15;109547
2013-12-16;109659
2013-12-17;109714
2013-12-18;109731
2013-12-19;109743
2013-12-20;109793
2013-12-21;109806
2013-12-23;109907
2013-12-24;109915
2013-12-25;110021
2013-12-26;110228
2013-12-27;110283
2013-12-28;110301
2013-12-29;110466
2013-12-30;110632
2013-12-31;110906
2014-01-01;111207
2014-01-02;111646
2014-01-03;111750
2014-01-04;112138
2014-01-05;112621
2014-01-06;113283
2014-01-07;113933
2014-01-08;114587
2014-01-09;115359
2014-01-10;115895
2014-01-11;116477
2014-01-12;134155
2014-01-13;134606
2014-01-14;147367
2014-01-15;147765
2014-01-16;148261
2014-01-17;148532
2014-01-18;149010
2014-01-19;149322
2014-01-20;149798
2014-01-21;150546
2014-01-22;150963
2014-01-23;151980
2014-01-24;153261
2014-01-25;158132
2014-01-26;158535
2014-01-27;159393
2014-01-28;159840
2014-01-29;160405
2014-01-30;174127
2014-01-31;174436
2014-02-01;174869
2014-02-02;175067
2014-02-03;175255
2014-02-04;175863
2014-02-05;176166
2014-02-06;176882
2014-02-07;177788
2014-02-08;178537
2014-02-09;178928
2014-02-10;191005
2014-02-11;192486
2014-02-12;193737
2014-02-13;193906
2014-02-14;194364
2014-02-15;194510
2014-02-16;194762
2014-02-17;195073
2014-02-18;195243
2014-02-19;197793
2014-02-20;198133
2014-02-21;198507
2014-02-22;198641
2014-02-23;203623
2014-02-24;204001
2014-02-25;214082
2014-02-26;217720
2014-02-27;217999
2014-02-28;240423
2014-03-01;242604
2014-03-02;248232
2014-03-03;249344
2014-03-04;250951
2014-03-05;257638
2014-03-06;259177
2014-03-07;260418
2014-03-08;262057
2014-03-09;262433
2014-03-10;262959
2014-03-11;263349
2014-03-12;265850
2014-03-13;266128
2014-03-14;266476
2014-03-15;267956
2014-03-16;273479
2014-03-17;275645
2014-03-18;277573
2014-03-19;289961
2014-03-20;291018
2014-03-21;292762
2014-03-22;294640
2014-03-23;295372
2014-03-24;297109
2014-03-25;298778
2014-03-26;299981
2014-03-27;301184
2014-03-28;302151
2014-03-29;302968
2014-03-30;303462
2014-03-31;306087
2014-04-01;309465
2014-04-02;310055
2014-04-03;310445
2014-04-04;311727
2014-04-05;312734
2014-04-06;312794
2014-04-08;313996
2014-04-09;320565
2014-04-27;317265
2014-04-28;318236
2014-04-29;320479
2014-04-30;322132
2014-05-06;353719
2014-05-07;354799
2014-05-14;356559
2014-05-15;357589
2014-05-19;359472
2014-05-21;362646
2014-05-23;363676
2014-05-27;475721
2014-05-28;475768
2014-05-29;476208
